tag,month,day,place,latitude,longitude,date
경기 확진자,8,28,성남예치과병원,37.43169881258258,127.12872581869314,8/28
서울 확진자,8,20,영동농협 본점,37.4708414848999,127.04342762656499,8/20
서울 확진자,8,20,코로나19 서울특별시어린이병원 선별진료소,37.4561272522342,127.06944730168,8/20
서울 확진자,8,20,코로나19 서울성모병원 선별진료소,37.5017971987601,127.00477702010001,8/20
서울 확진자,8,15,굽은다리역 5호선,37.545517591591306,127.142882741733,8/15
서울 확진자,8,20,코로나19 강동구보건소 선별진료소,37.529268770502796,127.125614688949,8/20
서울 확진자,8,19,연세서내과의원,37.512993390572696,127.01280283299025,8/19
서울 확진자,8,19,연세서내과의원,37.512993390572696,127.01280283299025,8/19
서울 확진자,8,17,중심교회,37.5404159586952,127.08522957652602,8/17
서울 확진자,8,20,건국대학교병원,37.54119956795036,127.07209467698176,8/20
서울 확진자,8,16,밀숲 건대점,37.539791654494294,127.07001702494502,8/16
서울 확진자,8,19,무병장수 한방삼계탕,37.5354378404173,127.0761339953645,8/19
서울 확진자,8,18,무병장수 한방삼계탕 (8/16~8/18),37.5354378404173,127.0761339953645,8/18
서울 확진자,8,21,코로나19 동대문구보건소 선별진료소,37.5746993851423,127.040223107039,8/21
서울 확진자,8,20,코로나19 마포구보건소 선별진료소,37.56694932271091,126.90185909738,8/20
서울 확진자,8,21,코로나19 마포구보건소 선별진료소,37.56694932271091,126.90185909738,8/21
서울 확진자,8,18,"헤어콕 연신내점 (8/8~8/12, 8/14~8/18)",37.6210146114445,126.920325138071,8/18
서울 확진자,8,16,축복교회 강남성전,37.481006664104314,127.03825079347001,8/16
서울 확진자,8,16,B1 음악작업실,37.4864404657902,127.029447736526,8/16
서울 확진자,8,17,한국수 서초점,37.48871451900101,127.029810461507,8/17
서울 확진자,8,17,인디고PC방 양재점,37.483897143566494,127.038116588604,8/17
서울 확진자,8,17,인디고PC방 양재점,37.483897143566494,127.038116588604,8/17
서울 확진자,8,20,가나당구장,37.48390794106801,127.038161820231,8/20
서울 확진자,8,21,국대떡볶이 서초점,37.4929566633985,127.02900250182599,8/21
서울 확진자,8,21,노랑통닭 양재역점,37.4852757378302,127.03185787673699,8/21
서울 확진자,8,20,서울방배2동우편취급국,37.47722761796409,126.98463804632,8/20
서울 확진자,8,17,피슈마라홍탕 상암점,37.57877107156739,126.89431973915076,8/17
서울 확진자,8,18,마성중식당,37.559673373533506,126.91656389550201,8/18
서울 확진자,8,16,순복음강북교회,37.5855035551529,127.05097112303801,8/16
서울 확진자,8,22,코로나19 경희의료원 선별진료소,37.5938752004487,127.051832862704,8/22
서울 확진자,8,23,코로나19 동대문구보건소 선별진료소,37.5746993851423,127.040223107039,8/23
